Number,Brand Name,Ctag,Photo,,Description,Grading,"Ecoring
Grading

",備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo,tracking number
49,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
50,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
51,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
52,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
53,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
54,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
55,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
56,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
57,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
58,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
59,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
60,,,,,,,,,,,,,,,,,,990,,,,,,,
61,,,,,,,,,,,,,,,,,,990,,,,,,,
62,,,,,,,,,,,,,,,,,,990,,,,,,,
63,,,,,,,,,,,,,,,,,,990,,,,,,,
64,,,,,,,,,,,,,,,,,,990,,,,,,,
65,,,,,,,,,,,,,,,,,,990,,,,,,,
66,,,,,,,,,,,,,,,,,,990,,,,,,,
67,,,,,,,,,,,,,,,,,,990,,,,,,,
68,,,,,,,,,,,,,,,,,,990,,,,,,,
69,,,,,,,,,,,,,,,,,,990,,,,,,,
70,,,,,,,,,,,,,,,,,,990,,,,,,,
71,,,,,,,,,,,,,,,,,,990,,,,,,,
72,,,,,,,,,,,,,,,,,,990,,,,,,,
73,,,,,,,,,,,,,,,,,,990,,,,,,,
74,,,,,,,,,,,,,,,,,,990,,,,,,,
75,,,,,,,,,,,,,,,,,,990,,,,,,,
76,,,,,,,,,,,,,,,,,,990,,,,,,,
77,,,,,,,,,,,,,,,,,,990,,,,,,,
78,,,,,,,,,,,,,,,,,,990,,,,,,,
79,,,,,,,,,,,,,,,,,,990,,,,,,,
80,,,,,,,,,,,,,,,,,,990,,,,,,,
81,,,,,,,,,,,,,,,,,,990,,,,,,,
82,,,,,,,,,,,,,,,,,,990,,,,,,,
83,,,,,,,,,,,,,,,,,,990,,,,,,,
84,,,,,,,,,,,,,,,,,,990,,,,,,,
85,,,,,,,,,,,,,,,,,,990,,,,,,,
86,,,,,,,,,,,,,,,,,,990,,,,,,,
87,,,,,,,,,,,,,,,,,,990,,,,,,,
88,,,,,,,,,,,,,,,,,,990,,,,,,,
89,,,,,,,,,,,,,,,,,,990,,,,,,,
90,,,,,,,,,,,,,,,,,,990,,,,,,,
91,,,,,,,,,,,,,,,,,,990,,,,,,,
92,,,,,,,,,,,,,,,,,,990,,,,,,,
93,,,,,,,,,,,,,,,,,,990,,,,,,,
94,,,,,,,,,,,,,,,,,,990,,,,,,,
95,,,,,,,,,,,,,,,,,,990,,,,,,,
96,,,,,,,,,,,,,,,,,,990,,,,,,,
97,,,,,,,,,,,,,,,,,,990,,,,,,,
98,,,,,,,,,,,,,,,,,,990,,,,,,,
99,,,,,,,,,,,,,,,,,,990,,,,,,,
100,,,,,,,,,,,,,,,,,,990,,,,,,,
